Manufacturer ,Petrocao
Name ,1000L Pleno 
Volume (L),1005
Diameter,0.95
Level (cm) ,Volume (L) 
1,2
2,6
3,10
4,16
5,22
6,29
7,36
8,44
9,52
10,60
11,70
12,79
13,89
14,99
15,109
16,120
17,131
18,142
19,153
20,165
21,177
22,189
23,201
24,213
25,226
26,239
27,251
28,264
29,278
30,291
31,304
32,318
33,331
34,345
35,359
36,372
37,386
38,400
39,414
40,428
41,442
42,456
43,470
44,484
45,499
46,513
47,527
48,541
49,555
50,569
51,583
52,597
53,611
54,625
55,639
56,653
57,666
58,680
59,693
60,707
61,720
62,733
63,746
64,759
65,772
66,785
67,797
68,810
69,822
70,834
71,846
72,857
73,868
74,879
75,890
76,901
77,911
78,921
79,931
80,940
81,949
82,957
83,965
84,973
85,980
86,986
87,992
88,997
89,1002
90,1005
